"Test","n","22","32"
"Cognitive Screen","","",""
" CERAD Total","54","68.62 (7.1)","72.28 (10.76)"
" MMSE /30","54","28.91 (1.06)","28.25 (2.24)"
"Language","","",""
" Semantic Fluency (Animals)","54","16.09 (3.16)","17.91 (4.69)"
" BNT-15 /15","54","11.77 (2.22)","12.47 (1.8)"
"Memory","","",""
" Word List Learning /30","54","15.45 (2.52)","16.38 (3.54)"
" Word List Delayed Recall /10","54","6.14 (1.64)","6.34 (1.54)"
" Word List Recognition /10","54","9.76 (0.54)","9.45 (1.09)"
" MIS Free Recall /8","54","6.6 (1.31)","5.86 (2)"
" MIS Cued Recall /8","54","0.67 (0.65)","1.16 (0.9)"
" MCT List 1 Cued Recall","54","14.3 (1.72)","14.29 (1.98)"
" MCT List 2 Cued Recall","54","11.05 (3.41)","11.71 (2.73)"
" MCT List 1 Cued Recall 2","54","13.95 (1.88)","14.21 (2.5)"
" MCT List 2 Cued Recall 2","54","11.4 (3.44)","12.21 (2.7)"
" MCT Total Free Recall","54","17.35 (6.71)","18.18 (6.3)"
" CP Delayed Recall /11","54","7.55 (2.96)","7.34 (2.68)"
" RCFT Delayed Recall /16","54","13.39 (7.11)","11.75 (6.1)"
"Visuospatial","","",""
" CP Copy /11","54","9.32 (1.39)","8.97 (2.06)"
" RCFT Copy /36","54","26.14 (5.98)","24.39 (7.55)"
" Raven's Progressive Matrices /12","54","8.43 (1.94)","8.16 (2)"
"Processing Speed","","",""
" TMT-A (seconds)","54","87.27 (54.51)","76.31 (48.02)"
" WAIS-III Digit Symbol","54","33.5 (10.58)","41.04 (15.53)"
" A Cancelation Correct /16","54","12 (2.83)","13.67 (2.31)"
"Executive Functioning","","",""
" Phonemic Fluency (FAS)","54","24.5 (10.92)","27.47 (10)"
" WAIS-III Arithmetic","54","4.5 (0.71)","5.5 (0.71)"
" WCST Total Correct","54","19.73 (6.13)","20.06 (8.72)"
" WCST Total Errors","54","28.27 (6.13)","27.87 (8.73)"
" WCST Total Categories /6","54","2.55 (1.18)","2.48 (1.36)"
" WCST Perseverations","54","19.27 (6.21)","20.26 (9.04)"
" WCST Failure Maintain Set","54","0.48 (0.68)","0.63 (0.81)"
