Test,n,"31","33","31"
MMSE (estándar),95,27.19 (1.97),28.42 (1.87),29.26 (0.89)
FVS (estándar),95,19.65 (3.76),20.06 (6.29),23.48 (5.01)
BNT (estándar),95,13.26 (1.46),13.76 (1.06),14.26 (0.89)
LP-A (estándar),95,13 (3.39),15.48 (4.53),16.77 (3.71)
LP-RD (estándar),95,5.26 (1.83),5.91 (1.65),6.9 (1.3)
LP-R (estándar),95,9.06 (1.88),9.06 (1.41),9.55 (0.77)
PRX-C (estándar),95,8.29 (1.79),8.91 (1.79),9.58 (0.92)
PRX-E (estándar),95,7.74 (1.88),8.61 (1.82),9.26 (1.12)
TMT-A-time (estándar),95,67.19 (29.81),54.03 (17.58),43.64 (13.8)
RCOF-C-time (estándar),95,157.31 (66.73),141.79 (64.32),103.77 (41.25)
ROCF-C (estándar),95,25.48 (6.77),27.92 (7.17),30.44 (4.54)
ROCF-IR-time (estándar),95,102.68 (39.09),110.3 (46.3),96.84 (43.46)
ROCF-IR (estándar),95,13 (5.79),14.7 (6.92),19.98 (6.16)
FVF-F (estándar),95,9.52 (4.4),9.33 (5.18),13.55 (5.18)
FVF-A (estándar),95,7.97 (3.12),9.52 (3.39),13.77 (4.57)
FVF-S (estándar),95,9.48 (3.78),9.88 (3.45),13.94 (5.34)
RVN (estándar),95,7.9 (1.8),9.36 (1.9),9.68 (1.42)
MWCST-A (estándar),95,16.94 (8.45),19.85 (7.12),26.61 (7.76)
MWCDT-E (estándar),95,30.74 (8.45),28.15 (7.12),21.26 (7.58)
MWCST-CTG (estándar),95,1.71 (1.01),2.21 (1.17),3.39 (1.52)
MWCST-P (estándar),95,12.71 (7.89),14 (5.43),12.35 (6.19)
MIS (estándar),95,6.55 (1.21),6.85 (1.18),7.32 (0.75)
CLV (estándar),95,34.74 (8.81),42.97 (12.6),62.35 (11.21)
MCT-L1 (estándar),95,14.35 (1.78),14.52 (1.64),15.55 (0.72)
MCT-L2 (estándar),95,11.39 (2.43),12.82 (2.8),12.71 (3.82)
MCT-L1&2 (estándar),95,26.9 (4.81),27.7 (3.97),30.32 (3.06)
MCT-RL (estándar),95,18.48 (4.75),20.76 (5.31),23.74 (5.2)

